book_id,rating,title,user
5,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",1
191139,5,"Oh, The Places You'll Go!",1
23772,5,Green Eggs and Ham,1
30119,5,Where the Sidewalk Ends,1
3980,5,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,1
420180,5,The Little White Horse,1
505304,5,The Poky Little Puppy,1
113946,4,How the Grinch Stole Christmas!,1
7784,4,The Lorax,1
30118,4,A Light in the Attic,1
7846067,5,"We are in a Book! (Elephant & Piggie, #13)",2
25785760,5,"Ida, Always",2
17082833,5,"I'm a Frog! (Elephant and Piggie, #20)",2
22693811,5,"The Penderwicks in Spring (The Penderwicks, #4)",2
11233988,5,I Want My Hat Back,2
10845916,5,"Happy Pig Day! (Elephant & Piggie, #16)",2
23310669,5,Giant Squid,2
31215005,5,The Legend of Rock Paper Scissors,2
8408981,5,"Lair of the Bat Monster (Dragonbreath, #4)",2
5983694,5,Where the Mountain Meets the Moon,2
5,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",3
334818,5,Miss Rumphius,3
11387515,5,Wonder (Wonder #1),3
3579,5,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",3
370493,5,The Giving Tree,3
113946,5,How the Grinch Stole Christmas!,3
301736,5,Guess How Much I Love You,3
19330,5,The Complete Tales,3
7784,5,The Lorax,3
191139,5,"Oh, The Places You'll Go!",3
17290220,5,"Rosie Revere, Engineer",4
300946,5,The Red Tree,4
9677870,5,Press Here,4
11387515,5,Wonder (Wonder #1),4
11556479,5,The Duckling Gets a Cookie!?,4
370493,5,The Giving Tree,4
301141,5,"Lost and Found (The Boy, #2)",4
109059,5,Matilda,4
157993,5,The Little Prince,4
17733898,5,"Hard Luck (Diary of a Wimpy Kid, #8)",4
13083239,5,The Fantastic Flying Books of Mr. Morris Lessmore,5
28507895,5,"Ada Twist, Scientist",5
11387515,5,Wonder (Wonder #1),5
16101018,5,The Day the Crayons Quit,5
1414607,5,Hug Time,5
18528005,5,The Lion and the Bird,5
18637037,5,Lindbergh: The Tale of a Flying Mouse,5
23528363,5,The Only Child,5
17061551,5,Dream Animals: A Bedtime Journey,5
13584764,5,You Are Stardust,5
165068,5,The Jesus Storybook Bible: Every Story Whispers His Name,6
28637454,5,Armstrong: The Adventurous Journey of a Mouse to the Moon,6
