book_id,title,average_rating,ratings_count,image_url,author_name
2266474,"""I Can't,"" Said the Ant",4.07,538,https://images.gr-assets.com/books/1332810168m/2266474.jpg,Polly Cameron
27219493,"""Oh, No,"" Said Elephant",3.17,59,https://images.gr-assets.com/books/1449532247m/27219493.jpg,A.H. Benjamin
1179337,"""Slowly, Slowly, Slowly,"" said The Sloth",3.95,136,https://images.gr-assets.com/books/1309213219m/1179337.jpg,Eric Carle
1668180,"""The Trouble with Dogs..."" Said Dad",3.55,104,https://images.gr-assets.com/books/1349386543m/1668180.jpg,Bob Graham
915727,"""What is That?"" Said the Cat",4.06,108,https://images.gr-assets.com/books/1360058085m/915727.jpg,Grace Maccarone
32181975,#BabyLove: My Toddler Life,4.13,93,https://images.gr-assets.com/books/1474597988m/32181975.jpg,Corine Dehghanpisheh
2059956,'The Chicken Gave It to Me',3.68,83,https://images.gr-assets.com/books/1340828358m/2059956.jpg,Anne Fine
1711669,"'Tis the Season (Main Street, #3)",4.07,697,https://images.gr-assets.com/books/1328840105m/1711669.jpg,Ann M. Martin
20821234,'Twas Nochebuena,4.03,112,https://images.gr-assets.com/books/1406507903m/20821234.jpg,Roseanne Thong
1060753,'Twas The Night Before Thanksgiving,4.12,1957,https://images.gr-assets.com/books/1328868194m/1060753.jpg,Dav Pilkey
6439715,'Twas the Fright Before Christmas,3.11,53,https://images.gr-assets.com/books/1328876881m/6439715.jpg,Judy Sierra
27164276,1 Big Salad: A Delicious Counting Book,3.59,330,https://images.gr-assets.com/books/1445791654m/27164276.jpg,Juana Medina
17365791,"1 Cookie, 2 Chairs, 3 Pears: Numbers Everywhere",3.63,51,https://images.gr-assets.com/books/1368424125m/17365791.jpg,Jane Brocket
18209495,"1 to 20, Animals Aplenty",4.09,139,https://images.gr-assets.com/books/1375063814m/18209495.jpg,Katie Viggers
8607905,1+1=5 and Other Unlikely Additions,3.68,318,https://images.gr-assets.com/books/1328768458m/8607905.jpg,David LaRochelle
3315169,"1, 2, Buckle My Shoe",3.85,176,https://images.gr-assets.com/books/1328833155m/3315169.jpg,Anna Grossnickle Hines
1079380,1-2-3 Magic: Managing Difficult Behavior in Children 2-12,3.86,61,https://images.gr-assets.com/books/1328840181m/1079380.jpg,Thomas W. Phelan
13260265,1-2-3 Peas,4.06,696,https://images.gr-assets.com/books/1344124914m/13260265.jpg,Keith  Baker
27812840,10 Busy Brooms,3.49,74,https://images.gr-assets.com/books/1453058783m/27812840.jpg,Carol Gerber
9561053,10 Easter Egg Hunters: A Holiday Counting Book,3.28,67,https://images.gr-assets.com/books/1320541617m/9561053.jpg,Janet Schulman
996483,10 Fat Turkeys,3.92,547,https://images.gr-assets.com/books/1328844343m/996483.jpg,Tony Johnston
12821016,10 Hungry Rabbits: Counting & Color Concepts,3.44,186,https://images.gr-assets.com/books/1320541937m/12821016.jpg,Anita Lobel
22064321,10 Little Ninjas,3.86,180,https://images.gr-assets.com/books/1450728971m/22064321.jpg,Miranda  Paul
321115,10 Little Sock Monkeys,3.28,50,https://images.gr-assets.com/books/1328859746m/321115.jpg,Harriet Ziefert
1446446,10 Minutes to Bedtime,4.16,85,https://images.gr-assets.com/books/1351800497m/1446446.jpg,Peggy Rathmann
3998943,10 Things I Can Do to Help My World,4.21,223,https://images.gr-assets.com/books/1320504468m/3998943.jpg,Melanie Walsh
1473757,10 Trick-or-Treaters,3.86,281,https://images.gr-assets.com/books/1320431006m/1473757.jpg,Janet Schulman
9207748,10 Trim-the-Tree'ers,3.26,55,https://images.gr-assets.com/books/1320410965m/9207748.jpg,Janet Schulman
12829941,10 Valentine Friends,3.16,61,https://images.gr-assets.com/books/1320519187m/12829941.jpg,Janet Schulman
296777,"10-Minute Life Lessons for Kids: 52 Fun and Simple Games and Activities to Teach Your Child Honesty, Trust, Love, and Other Important Values",3.91,62,https://images.gr-assets.com/books/1380496126m/296777.jpg,Jamie C. Miller
16276881,100 Animals on Parade!,3.69,80,https://images.gr-assets.com/books/1356153413m/16276881.jpg,Masayuki Sebe
17675292,100 Bears,3.13,84,https://images.gr-assets.com/books/1394522868m/17675292.jpg,Magali Bardos
5137042,100 Cupboards,3.77,72,https://images.gr-assets.com/books/1320404136m/5137042.jpg,N.D. Wilson
22676115,100 Great Children's Picturebooks,4.28,53,https://images.gr-assets.com/books/1429993595m/22676115.jpg,Martin Salisbury
18154581,100 Hungry Monkeys!,3.68,90,https://images.gr-assets.com/books/1382320208m/18154581.jpg,Masayuki Sebe
6928833,100 Most Disgusting Things On The Planet,3.98,129,https://images.gr-assets.com/books/1328837581m/6928833.jpg,Anna Claybourne
20701981,100 Things That Make Me Happy,3.83,403,https://images.gr-assets.com/books/1408930229m/20701981.jpg,Amy Schwartz
6936332,1001 Children's Books You Must Read Before You Grow Up,4.07,374,https://images.gr-assets.com/books/1342805030m/6936332.jpg,Julia Eccleshare
2322209,101 Dalmatians,4.32,4427,https://images.gr-assets.com/books/1320502414m/2322209.jpg,Justine Korman Fontes
18594402,"101 Kids Activities That Are the Bestest, Funnest Ever!: The Entertainment Solution for Parents, Relatives & Babysitters!",4.05,93,https://images.gr-assets.com/books/1391354812m/18594402.jpg,Holly Homer
25013223,101 Movies to See Before You Grow Up: Be your own movie critic--the must-see movie list for kids,4.12,67,https://images.gr-assets.com/books/1443471025m/25013223.jpg,Suzette Valle
27405309,101 Reasons Why I'm Not Taking a Bath,3.61,122,https://images.gr-assets.com/books/1453060167m/27405309.jpg,Stacy McAnulty
8527638,"101 Success Secrets for Gifted Kids, The Ultimate Handbook",4.29,63,https://images.gr-assets.com/books/1282606111m/8527638.jpg,Christine Fonseca
2536065,101 Things You Need To Know,3.29,62,https://images.gr-assets.com/books/1332014643m/2536065.jpg,Julie Mullarkey-Gnoy
256769,101 Ways to Bug Your Teacher,3.9,387,https://images.gr-assets.com/books/1309211446m/256769.jpg,Lee Wardlaw
7037480,11 Birthdays: A Wish Novel,4.18,460,https://images.gr-assets.com/books/1435189039m/7037480.jpg,Wendy Mass
13046593,11 Birthdays; Finally; and 13 Gifts,4.5,1373,https://images.gr-assets.com/books/1327675046m/13046593.jpg,Wendy Mass
10765595,11 Experiments That Failed,3.94,818,https://images.gr-assets.com/books/1320449751m/10765595.jpg,Jenny Offill
2054709,11 Planets: A New View of the Solar System,4.07,92,https://images.gr-assets.com/books/1320538046m/2054709.jpg,David A. Aguilar
156798,12 Fabulously Funny Fairy Tale Plays,3.99,115,https://images.gr-assets.com/books/1328869084m/156798.jpg,Justin McCory Martin
28439241,123 Dream,4.02,143,https://images.gr-assets.com/books/1454530353m/28439241.jpg,Kim Krans
16248110,123 versus ABC,3.9,491,https://images.gr-assets.com/books/1384259559m/16248110.jpg,Mike Boldt
9923038,13 Planets: The Latest View of the Solar System,4.23,74,https://images.gr-assets.com/books/1320555084m/9923038.jpg,David A. Aguilar
32319718,14 Hollow Road,4.24,129,https://images.gr-assets.com/books/1475593003m/32319718.jpg,Jenn Bishop
23380363,15 Things Not to Do with a Baby,3.61,116,https://images.gr-assets.com/books/1415589922m/23380363.jpg,Margaret McAllister
22546635,25 Roses,4.02,98,https://images.gr-assets.com/books/1420938305m/22546635.jpg,Stephanie Faris
967482,26 Fairmount Avenue (A 26 Fairmount Avenue Book),3.86,61,https://images.gr-assets.com/books/1448072956m/967482.jpg,Tomie dePaola
28458637,27 Magic Words,4.1,128,https://images.gr-assets.com/books/1462914771m/28458637.jpg,Sharelle Byars Moranville
18167596,29 Myths on the Swinster Pharmacy,2.96,629,https://images.gr-assets.com/books/1383048228m/18167596.jpg,Lemony Snicket
13436380,"3 Below (Floors, #2)",4.05,719,https://images.gr-assets.com/books/1398980890m/13436380.jpg,Patrick Carman
23217716,"3, 2, 1, Go!",3.23,86,https://images.gr-assets.com/books/1416178180m/23217716.jpg,Emily Arnold McCully
12385371,"3, 2, 1, Liftoff! (Level 1) (LEGO City Adventures)",3.66,98,https://images.gr-assets.com/books/1328836345m/12385371.jpg,Sonia Sander
18051182,30 Days of No Gossip,4.09,163,https://images.gr-assets.com/books/1394990621m/18051182.jpg,Stephanie Faris
17163108,300 Jokes for Kids,3.96,81,https://images.gr-assets.com/books/1356247566m/17163108.jpg,Tanya Turner
7685145,31 Ways to Change the World,4.06,50,https://images.gr-assets.com/books/1320475719m/7685145.jpg,We Are What We Do
